Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I30x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I30x_HG006_grapev2_0	2518942743.0	2518920625.0	53.0	22065.0	15.0	0.9984614688447441	0.9976037616421014	0.9999999940450685	0.0006793478260869565	0.9993206521739131	0.9993206521739131	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I30x_HG006_grapev2_0	2518942743.0	2518942391.0	1.0	351.0	0.0	0.9985775248933144	0.9971590909090909	1.0	0.0	1.0	1.0	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I30x_HG006_grapev2_0	2518942743.0	2516724780.0	9793.0	2208170.0	3917.0	0.9969052268033092	0.9955846873910881	0.9999984436145204	0.0017707260157489284	0.9982292739842511	0.9982292739842511	HG006	giabHC	-1.0	-2.0	sent	sentd
I30x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I30x_HG006_grapev2_0	2518942743.0	2517892308.0	5193.0	1045242.0	1930.0	0.9966042256723971	0.9950563338045667	0.9999992334864702	0.001843059210903271	0.9981569407890968	0.9981569407890968	HG006	giabHC	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-All	All	I3x_HG006_grapev2_0	3088286401.0	3084448183.0	1331524.0	2506694.0	702635.0	0.7113663803873888	0.6530879694691651	0.9997722526250903	0.21893517305330804	0.781064826946692	0.781064826946692	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I3x_HG006_grapev2_0	3088286401.0	3088059159.0	74905.0	152337.0	148961.0	0.5764445453513452	0.6703734344883429	0.9999517645850889	0.49439757316676514	0.5056024268332349	0.5056024268332349	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I3x_HG006_grapev2_0	3088286401.0	3088286361.0	39.0	1.0	930.0	0.0020597322348094747	0.025	0.9999996988622132	0.9989258861439313	0.0010741138560687036	0.0010741138560687433	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I3x_HG006_grapev2_0	3088286401.0	3088059916.0	71648.0	154837.0	136960.0	0.5975009743730246	0.6836523390069983	0.9999556504959045	0.4693674026806307	0.5306325973193693	0.5306325973193693	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I3x_HG006_grapev2_0	3088286401.0	3088286359.0	38.0	4.0	492.0	0.01486988847583643	0.09523809523809523	0.9999998406883739	0.9919354838709677	0.008064516129032251	0.008064516129032258	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I3x_HG006_grapev2_0	3088286401.0	3088270637.0	5755.0	10009.0	13361.0	0.5115245055450504	0.6349276833291043	0.9999956736491823	0.5717158750534874	0.4282841249465126	0.42828412494651263	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I3x_HG006_grapev2_0	3088286401.0	3088285685.0	408.0	308.0	353.0	0.44734931009440815	0.4301675977653631	0.9999998856971163	0.5340393343419062	0.4659606656580938	0.4659606656580938	HG006	hg38	-1.0	-2.0	sent	sentd
I3x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I3x_HG006_grapev2_0	3088286401.0	3086001955.0	796717.0	1487729.0	236255.0	0.7423001025339097	0.6512427958463453	0.999923448877266	0.13704013494324774	0.8629598650567523	0.8629598650567523	HG006	hg38	-1.0	-2.0	sent	sentd
