sample,rule,task_cost,HG_sample
I1x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I1x_HG006_grapev2_0.,sent.sentd.1-24,0.051432,HG006
I1x_HG006_grapev2_0.,sent.alignstats,0.002935,HG006
I0-1x_HG006_grapev2_0.,sent.alNsort,0.552914,HG006
I0-1x_HG006_grapev2_0.,dirsetup,4e-06,HG006
I0-1x_HG006_grapev2_0.,sent.mrkdup,0.013199,HG006
I0-1x_HG006_grapev2_0.,sent.alignstats,0.001182,HG006
I0-1x_HG006_grapev2_0.,sent.sentd.concat.fofn,5e-06,HG006
I0-1x_HG006_grapev2_0.,sent.sentd.1-24,0.020558,HG006
I0-1x_HG006_grapev2_0.,sent.sentd.merge,1.1e-05,HG006
I0-1x_HG006_grapev2_0.,sent.sentd.concordance,0.286195,HG006
I1-5x_HG006_grapev2_0.,sent.sentd.merge,8.9e-05,HG006
I1-5x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I1-5x_HG006_grapev2_0.,sent.mrkdup,0.024676,HG006
I1-5x_HG006_grapev2_0.,sent.sentd.concordance,0.588973,HG006
I1-5x_HG006_grapev2_0.,sent.alNsort,0.53725,HG006
I1-5x_HG006_grapev2_0.,sent.alignstats,0.00394,HG006
I1-5x_HG006_grapev2_0.,sent.sentd.1-24,0.118445,HG006
I7x_HG006_grapev2_0.,sent.alignstats,0.014956,HG006
I7x_HG006_grapev2_0.,sent.sentd.1-24,0.179495,HG006
I7x_HG006_grapev2_0.,sent.sentd.merge,0.000234,HG006
I7x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I7x_HG006_grapev2_0.,sent.mrkdup,0.071845,HG006
I7x_HG006_grapev2_0.,sent.sentd.concordance,0.906874,HG006
I7x_HG006_grapev2_0.,sent.alNsort,0.570011,HG006
I0-5x_HG006_grapev2_0.,sent.sentd.merge,2.8e-05,HG006
I0-5x_HG006_grapev2_0.,sent.alignstats,0.001921,HG006
I0-5x_HG006_grapev2_0.,sent.sentd.concordance,0.460048,HG006
I0-5x_HG006_grapev2_0.,sent.sentd.1-24,0.034635,HG006
I0-5x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I0-5x_HG006_grapev2_0.,sent.mrkdup,0.0148,HG006
I0-5x_HG006_grapev2_0.,sent.alNsort,0.545801,HG006
I5x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I5x_HG006_grapev2_0.,sent.sentd.concordance,0.855037,HG006
I5x_HG006_grapev2_0.,sent.alNsort,0.579958,HG006
I5x_HG006_grapev2_0.,sent.mrkdup,0.054669,HG006
I5x_HG006_grapev2_0.,sent.sentd.merge,0.000206,HG006
I5x_HG006_grapev2_0.,sent.sentd.1-24,0.252586,HG006
I5x_HG006_grapev2_0.,sent.alignstats,0.011007,HG006
I20x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I20x_HG006_grapev2_0.,sent.sentd.merge,0.000278,HG006
I20x_HG006_grapev2_0.,sent.sentd.concordance,0.585869,HG006
I20x_HG006_grapev2_0.,sent.alignstats,0.041449,HG006
I20x_HG006_grapev2_0.,sent.alNsort,0.696706,HG006
I20x_HG006_grapev2_0.,sent.mrkdup,0.232393,HG006
I20x_HG006_grapev2_0.,sent.sentd.1-24,0.266399,HG006
I3x_HG006_grapev2_0.,sent.alignstats,0.011553,HG006
I3x_HG006_grapev2_0.,sent.alNsort,0.546353,HG006
I3x_HG006_grapev2_0.,sent.sentd.concordance,0.453529,HG006
I3x_HG006_grapev2_0.,sent.sentd.concat.fofn,4e-06,HG006
I3x_HG006_grapev2_0.,sent.sentd.merge,0.000161,HG006
I3x_HG006_grapev2_0.,sent.sentd.1-24,0.113857,HG006
I3x_HG006_grapev2_0.,sent.mrkdup,0.035562,HG006
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.1-24,1.97598,HG006
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,3e-06,HG006
