sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4012,0.0,3e-06,1,0.0,3e-06,0.0
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2689.9913,36703.68,0.961821,96,0.1421,0.961821,382.33
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.3904,3257.6,0.007244,64,1.6749,0.007244,50.9
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,504.3779,19573.44,0.069716,32,1.2127,0.069716,611.67
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo,9968.2001,24347.52,8.317909,192,0.0127,8.317909,126.81
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.417,0.0,3e-06,1,0.0,3e-06,0.0
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2692.1597,36826.56,0.962597,96,0.1425,0.962597,383.60999999999996
Ods15xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.4811,3313.28,0.007266,64,1.6984,0.007266,51.77
Ods15xUds5x_HG006_sup-PAY77227_0.,ont.alignstats,271.8916,20055.04,0.037581,32,2.305,0.037581,626.72
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont,1710.5942,44315099.519999996,1.413616,192,134.9284,1.413616,230807.80999999997
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,0.3531,0.0,3e-06,1,0.0,3e-06,0.0
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,2512.3611,59199.36,1.038094,96,0.2455,1.038094,616.66
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.merge,30.7137,2954.24,0.00846,64,1.5029,0.00846,46.16
Ods20xUds10x_HG006_sup-PAY77227_0.,ont.alignstats,345.2633,23139.2,0.047723,32,2.0943,0.047723,723.1
Ods20xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo,9161.6833,27317.760000000002,7.644916,192,0.0155,7.644916,142.28
Ods20xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3604,0.0,3e-06,1,0.0,3e-06,0.0
Ods20xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2638.0806,35472.96,0.94326,96,0.1401,0.94326,369.51
Ods20xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.9448,3146.24,0.0069,64,1.6984,0.0069,49.16
