Name	X	Y
background: EUR	1.094	1.212
background: EUR	-0.355	1.137
background: EUR	0.009	0.907
background: EUR	0.565	0.344
background: EUR	1.106	0.539
background: EUR	-0.683	0.351
background: EUR	0.935	0.881
background: EUR	0.218	0.925
background: EUR	-0.051	0.762
background: EUR	0.144	0.863
background: EUR	1.201	1.161
background: EUR	0.726	2.552
background: EUR	-0.044	0.568
background: EUR	0.451	1.326
background: EUR	0.249	1.572
background: EUR	0.534	1.329
background: EUR	1.157	1.949
background: EUR	0.823	1.907
background: EUR	0.567	0.313
background: EUR	0.067	0.503
background: AMR	0.731	0.749
background: AMR	-1.323	0.869
background: AMR	-0.703	-0.499
background: AMR	0.863	0.499
background: AMR	0.916	0.278
background: AMR	0.546	0.664
background: AMR	1.623	-0.791
background: AMR	1.262	-0.675
background: AMR	1.038	-0.949
background: SAS	0.276	-0.711
background: SAS	-0.163	0.901
background: SAS	-0.068	-0.8
background: SAS	0.263	-0.138
background: EAS	1.505	-0.962
background: EAS	0.872	-1.592
background: EAS	0.254	-1.175
background: EAS	0.996	-1.671
background: EAS	1.638	-2.062
background: EAS	0.943	-1.004
background: EUR	1.243	2.779
background: EUR	0.738	1.54
background: EUR	0.63	2.033
background: EUR	0.203	0.995
background: EUR	-0.053	0.678
background: EUR	0.733	0.543
background: EUR	0.325	1.653
background: EUR	0.877	1.946
background: EUR	0.794	0.926
background: EUR	0.439	1.062
background: EUR	-0.556	1.473
background: EUR	0.201	0.927
background: EUR	-0.526	2.145
background: EUR	1.063	1.898
background: EUR	-0.672	0.115
background: EUR	0.39	0.708
background: EUR	0.612	0.769
background: EUR	0.096	1.294
background: EUR	0.11	1.201
background: EUR	0.009	1.604
background: EUR	0.487	0.257
background: EUR	0.208	1.162
background: EUR	-0.748	1.161
background: EUR	0.715	1.597
background: EUR	-0.308	0.142
background: EUR	-0.225	1.324
background: EUR	0.72	1.876
background: EUR	-0.334	1.179
background: EUR	-0.217	0.725
background: EUR	-0.224	0.561
background: EUR	0.102	0.923
background: EUR	0.556	1.408
background: EUR	1.069	1.363
background: EUR	1.286	1.545
background: EUR	0.51	0.439
background: EUR	0.203	1.259
background: EUR	1.072	0.631
background: EUR	0.423	1.969
background: EUR	0.126	0.522
background: EUR	0.419	1.219
background: EUR	-0.444	0.876
background: EUR	-0.214	1.343
background: EUR	1.084	1.589
background: EUR	-0.222	1.632
background: EUR	0.158	1.676
background: EUR	0.458	1.817
background: EUR	-0.187	0.941
background: EUR	0.991	-0.232
background: EUR	-0.005	1.505
background: EUR	1.083	0.962
background: EUR	-0.216	0.993
background: EUR	1.027	0.938
background: EUR	0.623	0.872
background: EUR	-0.312	0.256
background: EUR	0.998	0.579
background: EUR	-0.076	0.401
background: EUR	1.083	1.641
background: EUR	-0.065	1.62
background: EUR	0.348	0.737
background: EUR	0.635	1.207
background: EUR	0.003	0.566
background: EUR	0.378	0.702
background: EUR	-0.144	1.126
background: EUR	0.229	2.256
background: EUR	0.867	1.145
background: EUR	0.976	1.54
background: EUR	0.216	0.055
background: EUR	1.196	0.738
background: EUR	0.291	1.453
